clean_text,is_depression
"Feeling really sleepy in class because I slept late finishing the lab record but I will fix my schedule tonight",0
"Sometimes I compare myself to toppers and feel behind but then I remind myself everyone has their own pace",0
"Struggled with time management this week but I have already adjusted my planner for next week",0
"I lost my temper during a group project argument but I apologized and we moved forward",0
"The pressure of placements is real but I am channeling it into focused preparation",0
"My parents are counting on me and that motivates me to study harder every day",0
"I skipped breakfast twice this week because of early classes but I am packing snacks now to fix that habit",0
"i cant wait for the semester to end so i can finally relax and recharge for the next one",0
"im kinda stressed rn but honestly its nothing i cant handle with some good planning",0
"bro the exam was brutal but at least its over now lol time to chill",0
"ngl im exhausted from all the assignments but the grind is worth it fr",0
"lowkey proud of myself for not procrastinating this whole week thats growth right there",0
"the lab was tough af but my team pulled through and we got it working",0
"gonna treat myself to some good food tonight because i survived the midterms lmao",0
"honestly college is hard but i wouldnt trade these experiences for anything",0
"had a rough morning but my friends made me laugh at lunch and now im good",0
"idk why everyone hates mondays i actually had a productive start to the week",0
"my code broke like five times but i finally fixed it and it feels amazing ngl",0
"cant believe i pulled an all nighter and still aced the presentation today lets gooo",0
"feeling kinda drained but nothing a good nights sleep wont fix tbh",0
"was super anxious before the interview but once it started i nailed it fr",0
"the hostel wifi is trash but at least i got my assignment submitted on time lol",0
"life is hectic rn but im grateful for the opportunities coming my way",0
"sometimes i feel like giving up but then i remember why i started and keep pushing",0
"not gonna lie this semester hit different but im adapting and getting stronger",0
"spent the whole day in the library and my brain is fried but i covered three chapters",0
"i really need a vacation but first let me clear these backlogs and then ill rest properly",0
"i feel so sleepy but cant stop now gotta finish this assignment before midnight",0
"was feeling low earlier but a call with mom fixed everything as usual",0
"bruh the project deadline got extended and i have never been so relieved in my life",0
"im not where i want to be yet but im definitely not where i used to be either and thats progress",0
"another day another grind but at least the food in the mess was decent today lol",0
"this whole week was chaos but somehow i survived and thats what matters",0
"I have been feeling hopeless about everything nothing brings me joy anymore",1
"I do not want to get out of bed I just lay here staring at the ceiling all day",1
"nobody cares about me I could disappear and no one would notice",1
"I am so tired of pretending to be okay when inside I am falling apart",1
"everything feels pointless I do not see any reason to keep trying",1
"I have been crying every night and I do not even know why anymore",1
"I feel like a burden to everyone around me they would be better off without me",1
"I cannot concentrate on anything my mind is just blank and empty all the time",1
"I have lost interest in everything I used to love nothing excites me at all",1
"I feel so alone even when I am surrounded by people no one understands",1
"I have not eaten properly in days I just do not have the appetite or energy",1
"I keep thinking about how much easier it would be if I just was not here",1
"I failed again what is even the point of trying when I always end up failing",1
"I hate myself and everything about my life nothing ever goes right for me",1
"I cannot sleep at night my thoughts just keep spiraling into dark places",1
"I feel numb I do not feel happy or sad just nothing and it scares me",1
"every morning I wake up wishing I had not what is wrong with me",1
"I have been isolating myself from everyone I just want to be left alone forever",1
"the world would genuinely be better without me I am just taking up space",1
"I am so exhausted mentally and physically I do not think I can keep going much longer",1
"i literally dont care about anything anymore nothing matters tbh",1
"cant remember the last time i was actually happy everything is just grey now",1
"im so tired of existing not living just existing theres a difference",1
"ngl i just want everything to stop like permanently if you know what i mean",1
"everyone says it gets better but when because its been getting worse for years",1
"i smile in front of people but inside i am completely dead and hollow",1
"whats the point of studying or working hard when nothing will change anyway",1
"i keep having these dark thoughts and they are getting harder to ignore each day",1
"i feel like im drowning and no one can see it happening right in front of them",1
"another day of pretending lol im so good at faking being fine that nobody suspects anything",1
"im just so done with everything i cant even explain how empty i feel inside",1
"i used to be happy and now i dont even recognize who i am anymore its scary",1
"sometimes i think about just ending it all and that thought gives me more peace than anything else",1
"i havent talked to anyone in weeks and honestly nobody has checked on me either so yeah",1
"every single day feels the same wake up suffer sleep repeat i am trapped",1
"i am falling behind in everything and i dont even care anymore thats how far gone i am",1
"people keep telling me to be positive but they dont understand that my brain wont let me",1
"i look at other people being happy and i cant even comprehend what that feels like anymore",1
"i am so mentally exhausted that even breathing feels like too much effort some days",1
"there is this constant heaviness in my chest that never goes away no matter what i do",1
